InitialBasket	SecondBasket	TotalFrequency	Support	Confidence	Lift
2 Minutes To Midnight	04 - Running Free	1	0.05	33.33	6.61
A Melhor Forma	32 Dentes	1	0.05	100	19.84
A Menina Dança	A Cura	1	0.05	100	19.84
Abraham, Martin And John	A Cura	1	0.05	100	19.84
Abraham, Martin And John	A Menina Dança	1	0.05	100	19.84
Aces High	05 - Phantom of the Opera	1	0.05	100	19.84
Acrobat	"""?"""	1	0.05	100	19.84
Action	Acelerou	1	0.05	100	9.92
Adrift	...And Found	1	0.05	100	19.84
Afraid To Shoot Strangers	01 - Prowler	1	0.05	50	9.92
Afraid To Shoot Strangers	09 - Iron Maiden	1	0.05	50	9.92
Age Of Innocence	05 - Phantom of the Opera	1	0.05	100	19.84
Age Of Innocence	Aces High	1	0.05	100	19.84
All Because Of You	A Man And A Woman	1	0.05	100	19.84
All For You	A Statistic	1	0.05	100	19.84
Aloha	A Cura	1	0.05	100	19.84
Aloha	A Menina Dança	1	0.05	100	19.84
Aloha	Abraham, Martin And John	1	0.05	100	19.84
Alô, Alô, Marciano	Acelerou	1	0.05	100	9.92
Amanhã Não Se Sabe	A Day In the Life	1	0.05	100	19.84
American Idiot	14 Years	1	0.05	100	19.84
Amy Amy Amy (Outro)	A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno	1	0.05	100	19.84
Animal	A Twist In The Tail	1	0.05	50	9.92
Another Life	04 - Running Free	1	0.05	100	19.84
Another Life	2 Minutes To Midnight	1	0.05	100	6.61
Any Colour You Like	1/2 Full	1	0.05	100	19.84
Aquele Abraço	A Novidade (Live)	1	0.05	100	19.84
Aquilo	2 X 4	1	0.05	100	19.84
As Aparências Enganam	Acelerou	1	0.05	100	9.92
As Aparências Enganam	Alô, Alô, Marciano	1	0.05	100	19.84
As Dores do Mundo	Are You Gonna Be My Girl	1	0.05	100	19.84
Assaltaram A Gramática	2 X 4	1	0.05	100	19.84
Assaltaram A Gramática	Aquilo	1	0.05	100	19.84
Astronomy	A Kind Of Magic	1	0.05	100	19.84
Atrás da Porta	Acelerou	1	0.05	100	9.92
Atrás da Porta	Alô, Alô, Marciano	1	0.05	100	19.84
Atrás da Porta	As Aparências Enganam	1	0.05	100	19.84
Attitude	All Within My Hands	1	0.05	100	19.84
Ava Adore	Aeroplane Flies High	1	0.05	100	19.84
Azul	Acelerou	1	0.05	100	9.92
Azul	Action	1	0.05	100	19.84
Açai	A Twist In The Tail	1	0.05	100	19.84
Açai	Animal	1	0.05	100	9.92
Babyface	All I Want Is You	1	0.05	100	9.92
Back in the Village	01 - Prowler	1	0.05	100	19.84
Back in the Village	Afraid To Shoot Strangers	1	0.05	100	9.92
Bad	All I Want Is You	1	0.05	100	9.92
Bad	Babyface	1	0.05	100	19.84
Bad, Bad Leroy Brown	Assum Preto	1	0.05	100	19.84
Badge	Aprendendo A Jogar	1	0.05	100	19.84
Baltimore, DC	A Twist In The Tail	1	0.05	100	19.84
Baltimore, DC	Animal	1	0.05	100	9.92
Baltimore, DC	Açai	1	0.05	100	19.84
Bankrobber	(White Man) In Hammersmith Palais	1	0.05	100	19.84
Be Aggressive	After Midnight	1	0.05	100	19.84
Be Mine	Animal	1	0.05	100	9.92
Before You Accuse Me	Alberta	1	0.05	50	9.92
Beija-Flor	'Round Midnight	1	0.05	100	19.84
Beijo Partido	A Moça e a Chuva	1	0.05	100	19.84
Believe	Are You Gonna Go My Way	1	0.05	50	9.92
Believe	As We Sleep	1	0.05	50	9.92
Believer	Bark at the Moon	1	0.05	100	19.84
Bell Bottom Blues	Alberta	1	0.05	100	19.84
Bell Bottom Blues	Before You Accuse Me	1	0.05	100	9.92
Better Than You	Battery	1	0.05	100	19.84
Bicycle Race	Alive	1	0.05	100	19.84
Big Wave	Beach Sequence	1	0.05	100	19.84
Billie Jean	Armadura	1	0.05	100	19.84
Bittersweet Me	Binky The Doormat	1	0.05	100	19.84
Black	1/2 Full	1	0.05	100	19.84
Black	Any Colour You Like	1	0.05	100	19.84
Black Diamond	Best Thing	1	0.05	100	19.84
Black Moon Creeping	Back Door Man	1	0.05	100	19.84
Black Night	Acelerou	1	0.05	100	9.92
Black Night	Action	1	0.05	100	19.84
Black Night	Azul	1	0.05	100	19.84
Blackened	A Noite Do Meu Bem	1	0.05	100	19.84
Bleed The Freak	Angela	1	0.05	100	19.84
Bleeding Me	Ain't My Bitch	1	0.05	100	19.84
Blood Brothers	01 - Prowler	1	0.05	50	9.92
Blood Brothers	Afraid To Shoot Strangers	1	0.05	50	4.96
Blood Brothers	Back in the Village	1	0.05	50	9.92
Blood In The Wall	Amazing	1	0.05	100	19.84
Blood On The World's Hands	2 A.M.	1	0.05	100	19.84
Blue Rythm Fantasy	Black Satin	1	0.05	100	19.84
Blues For Pablo (Alternate Take)	A Moça e a Chuva	1	0.05	100	19.84
Blues For Pablo (Alternate Take)	Beijo Partido	1	0.05	100	19.84
Bohemian Rhapsody	Arc	1	0.05	100	19.84
Boogie Blues	Agora Que O Dia Acordou	1	0.05	100	19.84
Bop Boogie	Black Satin	1	0.05	100	19.84
Bop Boogie	Blue Rythm Fantasy	1	0.05	100	19.84
Bored To Tears	Amazing	1	0.05	100	19.84
Bored To Tears	Blood In The Wall	1	0.05	100	19.84
Boris The Spider	Babylon	1	0.05	100	19.84
Born On The Bayou	(Wish I Could) Hideaway	1	0.05	100	19.84
Born to Run	All Along The Watchtower	1	0.05	100	19.84
Bossa	Animal	1	0.05	100	9.92
Bossa	Be Mine	1	0.05	100	19.84
Boulevard Of Broken Dreams	Are We The Waiting	1	0.05	100	19.84
Bowels Of The Devil	Body Count Anthem	1	0.05	100	19.84
Brain Damage	Arc	1	0.05	100	19.84
Brain Damage	Bohemian Rhapsody	1	0.05	100	19.84
Branch Closing	All Night Thing	1	0.05	50	9.92
Brasil	A Noite Do Meu Bem	1	0.05	50	9.92
Brasil	Blackened	1	0.05	50	9.92
Brasil	Born To Move	1	0.05	50	9.92
Breadfan	Am I Evil?	1	0.05	100	19.84
Breathe	(White Man) In Hammersmith Palais	1	0.05	100	19.84
Breathe	Bankrobber	1	0.05	100	19.84
Breed	Been A Son	1	0.05	100	19.84
Brighter Than a Thousand Suns	2 Minutes To Midnight	1	0.05	100	6.61
Bring Me Your Cup	Ain't Talkin' 'bout Love	1	0.05	100	19.84
Bring Your Daughter... To The Slaughter	09 - Iron Maiden	1	0.05	100	19.84
Bring Your Daughter... To The Slaughter	Afraid To Shoot Strangers	1	0.05	100	9.92
