InvoiceId	InvoiceDate	CustomerId	TrackId	TrackName	ArtistId	ArtistName	AlbumId	AlbumTitle	GenreId	Genre	MediaTypeId	MediaType	Composer	UnitPrice	Quantity	Amount
1	2009-01-01 00:00:00	2	2	Balls to the Wall	2	Accept	2	Balls to the Wall	1	Rock	2	Protected AAC audio file		0.99	1	0.99
1	2009-01-01 00:00:00	2	4	Restless and Wild	2	Accept	3	Restless and Wild	1	Rock	2	Protected AAC audio file	F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman	0.99	1	0.99
2	2009-01-02 00:00:00	4	6	Put The Finger On You	1	AC/DC	1	For Those About To Rock We Salute You	1	Rock	1	MPEG audio file	Angus Young, Malcolm Young, Brian Johnson	0.99	1	0.99
2	2009-01-02 00:00:00	4	8	Inject The Venom	1	AC/DC	1	For Those About To Rock We Salute You	1	Rock	1	MPEG audio file	Angus Young, Malcolm Young, Brian Johnson	0.99	1	0.99
2	2009-01-02 00:00:00	4	10	Evil Walks	1	AC/DC	1	For Those About To Rock We Salute You	1	Rock	1	MPEG audio file	Angus Young, Malcolm Young, Brian Johnson	0.99	1	0.99
2	2009-01-02 00:00:00	4	12	Breaking The Rules	1	AC/DC	1	For Those About To Rock We Salute You	1	Rock	1	MPEG audio file	Angus Young, Malcolm Young, Brian Johnson	0.99	1	0.99
3	2009-01-03 00:00:00	8	16	Dog Eat Dog	1	AC/DC	4	Let There Be Rock	1	Rock	1	MPEG audio file	AC/DC	0.99	1	0.99
3	2009-01-03 00:00:00	8	20	Overdose	1	AC/DC	4	Let There Be Rock	1	Rock	1	MPEG audio file	AC/DC	0.99	1	0.99
3	2009-01-03 00:00:00	8	24	Love In An Elevator	3	Aerosmith	5	Big Ones	1	Rock	1	MPEG audio file	Steven Tyler, Joe Perry	0.99	1	0.99
3	2009-01-03 00:00:00	8	28	Janie's Got A Gun	3	Aerosmith	5	Big Ones	1	Rock	1	MPEG audio file	Steven Tyler, Tom Hamilton	0.99	1	0.99
3	2009-01-03 00:00:00	8	32	Deuces Are Wild	3	Aerosmith	5	Big Ones	1	Rock	1	MPEG audio file	Steven Tyler, Jim Vallance	0.99	1	0.99
3	2009-01-03 00:00:00	8	36	Angel	3	Aerosmith	5	Big Ones	1	Rock	1	MPEG audio file	Steven Tyler, Desmond Child	0.99	1	0.99
4	2009-01-06 00:00:00	14	42	Right Through You	4	Alanis Morissette	6	Jagged Little Pill	1	Rock	1	MPEG audio file	Alanis Morissette & Glenn Ballard	0.99	1	0.99
4	2009-01-06 00:00:00	14	48	Not The Doctor	4	Alanis Morissette	6	Jagged Little Pill	1	Rock	1	MPEG audio file	Alanis Morissette & Glenn Ballard	0.99	1	0.99
4	2009-01-06 00:00:00	14	54	Bleed The Freak	5	Alice In Chains	7	Facelift	1	Rock	1	MPEG audio file	Jerry Cantrell	0.99	1	0.99
4	2009-01-06 00:00:00	14	60	Confusion	5	Alice In Chains	7	Facelift	1	Rock	1	MPEG audio file	Jerry Cantrell, Michael Starr, Layne Staley	0.99	1	0.99
4	2009-01-06 00:00:00	14	66	Por Causa De Você	6	Antônio Carlos Jobim	8	Warner 25 Anos	2	Jazz	1	MPEG audio file		0.99	1	0.99
4	2009-01-06 00:00:00	14	72	Angela	6	Antônio Carlos Jobim	8	Warner 25 Anos	2	Jazz	1	MPEG audio file		0.99	1	0.99
4	2009-01-06 00:00:00	14	78	Master Of Puppets	7	Apocalyptica	9	Plays Metallica By Four Cellos	3	Metal	1	MPEG audio file	Apocalyptica	0.99	1	0.99
4	2009-01-06 00:00:00	14	84	Welcome Home (Sanitarium)	7	Apocalyptica	9	Plays Metallica By Four Cellos	3	Metal	1	MPEG audio file	Apocalyptica	0.99	1	0.99
4	2009-01-06 00:00:00	14	90	Set It Off	8	Audioslave	10	Audioslave	1	Rock	1	MPEG audio file	Audioslave/Chris Cornell	0.99	1	0.99
5	2009-01-11 00:00:00	23	99	Your Time Has Come	8	Audioslave	11	Out Of Exile	4	Alternative & Punk	1	MPEG audio file	Cornell, Commerford, Morello, Wilk	0.99	1	0.99
5	2009-01-11 00:00:00	23	108	Dandelion	8	Audioslave	11	Out Of Exile	4	Alternative & Punk	1	MPEG audio file	Cornell, Commerford, Morello, Wilk	0.99	1	0.99
5	2009-01-11 00:00:00	23	117	Rock 'N' Roll Music	9	BackBeat	12	BackBeat Soundtrack	5	Rock And Roll	1	MPEG audio file	Chuck Berry	0.99	1	0.99
5	2009-01-11 00:00:00	23	126	Moon germs	10	Billy Cobham	13	The Best Of Billy Cobham	2	Jazz	1	MPEG audio file	Billy Cobham	0.99	1	0.99
5	2009-01-11 00:00:00	23	135	Super Terrorizer	11	Black Label Society	14	Alcohol Fueled Brewtality Live! [Disc 1]	3	Metal	1	MPEG audio file		0.99	1	0.99
5	2009-01-11 00:00:00	23	144	Heart Of Gold	11	Black Label Society	15	Alcohol Fueled Brewtality Live! [Disc 2]	3	Metal	1	MPEG audio file		0.99	1	0.99
5	2009-01-11 00:00:00	23	153	Evil Woman	12	Black Sabbath	16	Black Sabbath	3	Metal	1	MPEG audio file		0.99	1	0.99
5	2009-01-11 00:00:00	23	162	Cornucopia	12	Black Sabbath	17	Black Sabbath Vol. 4 (Remaster)	3	Metal	1	MPEG audio file	Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne	0.99	1	0.99
5	2009-01-11 00:00:00	23	171	Bowels Of The Devil	13	Body Count	18	Body Count	4	Alternative & Punk	1	MPEG audio file		0.99	1	0.99
5	2009-01-11 00:00:00	23	180	Body Count Anthem	13	Body Count	18	Body Count	4	Alternative & Punk	1	MPEG audio file		0.99	1	0.99
5	2009-01-11 00:00:00	23	189	Jerusalem	14	Bruce Dickinson	19	Chemical Wedding	3	Metal	1	MPEG audio file	Roy Z	0.99	1	0.99
5	2009-01-11 00:00:00	23	198	When My Left Eye Jumps	15	Buddy Guy	20	The Best Of Buddy Guy - The Millenium Collection	6	Blues	1	MPEG audio file	Al Perkins/Willie Dixon	0.99	1	0.99
5	2009-01-11 00:00:00	23	207	Meditação	16	Caetano Veloso	21	Prenda Minha	7	Latin	1	MPEG audio file	Tom Jobim - Newton Mendoça	0.99	1	0.99
5	2009-01-11 00:00:00	23	216	Esse Cara	16	Caetano Veloso	21	Prenda Minha	7	Latin	1	MPEG audio file	Caetano Veloso	0.99	1	0.99
6	2009-01-19 00:00:00	37	230	Bye, Bye Brasil	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
7	2009-02-01 00:00:00	38	231	Atras Da Porta	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
7	2009-02-01 00:00:00	38	232	Tatuagem	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
8	2009-02-01 00:00:00	40	234	Morena De Angola	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
8	2009-02-01 00:00:00	40	236	A Banda	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
9	2009-02-02 00:00:00	42	238	Com Açúcar E Com Afeto	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
9	2009-02-02 00:00:00	42	240	Meu Caro Amigo	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
9	2009-02-02 00:00:00	42	242	Trocando Em Miúdos	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
9	2009-02-02 00:00:00	42	244	Gota D'água	17	Chico Buarque	23	Minha Historia	7	Latin	1	MPEG audio file		0.99	1	0.99
10	2009-02-03 00:00:00	46	248	Etnia	18	Chico Science & Nação Zumbi	24	Afrociberdelia	7	Latin	1	MPEG audio file	Chico Science	0.99	1	0.99
10	2009-02-03 00:00:00	46	252	Samba Do Lado	18	Chico Science & Nação Zumbi	24	Afrociberdelia	7	Latin	1	MPEG audio file	Chico Science	0.99	1	0.99
10	2009-02-03 00:00:00	46	256	Sobremesa	18	Chico Science & Nação Zumbi	24	Afrociberdelia	7	Latin	1	MPEG audio file	Chico Science	0.99	1	0.99
10	2009-02-03 00:00:00	46	260	Sangue De Bairro	18	Chico Science & Nação Zumbi	24	Afrociberdelia	7	Latin	1	MPEG audio file	Chico Science	0.99	1	0.99
10	2009-02-03 00:00:00	46	264	Amor De Muito	18	Chico Science & Nação Zumbi	24	Afrociberdelia	7	Latin	1	MPEG audio file	Chico Science	0.99	1	0.99
10	2009-02-03 00:00:00	46	268	Maracatu Atômico [Trip Hop]	18	Chico Science & Nação Zumbi	24	Afrociberdelia	7	Latin	1	MPEG audio file	Chico Science	0.99	1	0.99
11	2009-02-06 00:00:00	52	274	Samba Makossa	18	Chico Science & Nação Zumbi	25	Da Lama Ao Caos	7	Latin	1	MPEG audio file		0.99	1	0.99
11	2009-02-06 00:00:00	52	280	Lixo Do Mangue	18	Chico Science & Nação Zumbi	25	Da Lama Ao Caos	7	Latin	1	MPEG audio file		0.99	1	0.99
11	2009-02-06 00:00:00	52	286	Firmamento	19	Cidade Negra	26	Acústico MTV [Live]	8	Reggae	1	MPEG audio file	Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers	0.99	1	0.99
11	2009-02-06 00:00:00	52	292	Já Foi	19	Cidade Negra	26	Acústico MTV [Live]	8	Reggae	1	MPEG audio file	Bino Farias/Da Gama/Lazão/Toni Garrido	0.99	1	0.99
11	2009-02-06 00:00:00	52	298	A Cor Do Sol	19	Cidade Negra	26	Acústico MTV [Live]	8	Reggae	1	MPEG audio file	Bernardo Vilhena/Da Gama/Lazão	0.99	1	0.99
11	2009-02-06 00:00:00	52	304	Firmamento	19	Cidade Negra	27	Cidade Negra - Hits	8	Reggae	1	MPEG audio file	Harry Lawes/Winston Foster-Vers	0.99	1	0.99
11	2009-02-06 00:00:00	52	310	Sábado A Noite	19	Cidade Negra	27	Cidade Negra - Hits	8	Reggae	1	MPEG audio file	Lulu Santos	0.99	1	0.99
11	2009-02-06 00:00:00	52	316	Linha Do Equador	20	Cláudio Zoli	28	Na Pista	7	Latin	1	MPEG audio file		0.99	1	0.99
11	2009-02-06 00:00:00	52	322	Livre Pra Viver	20	Cláudio Zoli	28	Na Pista	7	Latin	1	MPEG audio file		0.99	1	0.99
12	2009-02-11 00:00:00	2	331	Lavadeira	21	Various Artists	29	Axé Bahia 2001	9	Pop	1	MPEG audio file	Do Vale, Valverde/Gal Oliveira/Luciano Pinto	0.99	1	0.99
12	2009-02-11 00:00:00	2	340	Dazed and Confused	22	Led Zeppelin	30	BBC Sessions [Disc 1] [Live]	1	Rock	1	MPEG audio file	Jimmy Page	0.99	1	0.99
12	2009-02-11 00:00:00	2	349	You Shook Me(2)	22	Led Zeppelin	30	BBC Sessions [Disc 1] [Live]	1	Rock	1	MPEG audio file	J B Lenoir/Willie Dixon	0.99	1	0.99
12	2009-02-11 00:00:00	2	358	Man With The Woman Head	23	Frank Zappa & Captain Beefheart	31	Bongo Fury	1	Rock	1	MPEG audio file	Don Van Vliet	0.99	1	0.99
12	2009-02-11 00:00:00	2	367	Leandro De Itaquera 2001	21	Various Artists	32	Carnaval 2001	10	Soundtrack	1	MPEG audio file		0.99	1	0.99
12	2009-02-11 00:00:00	2	376	Vôo Sobre o Horizonte	24	Marcos Valle	33	Chill: Brazil (Disc 1)	7	Latin	1	MPEG audio file	J.r.Bertami/Parana	0.99	1	0.99
12	2009-02-11 00:00:00	2	385	All Star	24	Marcos Valle	33	Chill: Brazil (Disc 1)	7	Latin	1	MPEG audio file	Nando Reis	0.99	1	0.99
12	2009-02-11 00:00:00	2	394	Tanto Tempo	6	Antônio Carlos Jobim	34	Chill: Brazil (Disc 2)	7	Latin	1	MPEG audio file	Vários	0.99	1	0.99
12	2009-02-11 00:00:00	2	403	Bumbo Da Mangueira	6	Antônio Carlos Jobim	34	Chill: Brazil (Disc 2)	7	Latin	1	MPEG audio file	Vários	0.99	1	0.99
12	2009-02-11 00:00:00	2	412	Die Die My Darling	50	Metallica	35	Garage Inc. (Disc 1)	3	Metal	1	MPEG audio file	Danzig	0.99	1	0.99
12	2009-02-11 00:00:00	2	421	Radio GA GA	51	Queen	36	Greatest Hits II	1	Rock	1	MPEG audio file	Roger Taylor	0.99	1	0.99
12	2009-02-11 00:00:00	2	430	I'm Going Slightly Mad	51	Queen	36	Greatest Hits II	1	Rock	1	MPEG audio file	Queen	0.99	1	0.99
